Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Title,Channels,Views,Likes,Comments,Licensed,official_video,Stream,EnergyLiveness,most_playedon
"Nicky Jam",X,Intimo,album,0.594,0.749,-5.298,0.056,0.0338,0.00106,0.3,0.694,179.968,2.8809,"Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon",NickyJamTV,2133459242,9883068,262847,TRUE,TRUE,865695837,2.496666667,Youtube
"Nicky Jam","El PerdÃ³n (with Enrique Iglesias)",FÃ©nix,album,0.628,0.69,-5.83,0.0511,0.443,0,0.113,0.66,179.908,3.431783333,"21. El PerdÃ³n - Nicky Jam y Enrique Iglesias  [Official Music Video YTMAs]",NickyJamTV,1381668642,4089045,96876,TRUE,TRUE,765561212,6.10619469,Youtube
"Nicky Jam","Bella y Sensual",Golden,album,0.635,0.713,-6.909,0.0937,0.228,0,0.0506,0.749,179.864,3.411683333,"Romeo Santos, Daddy Yankee, Nicky Jam - Bella y Sensual (Official Video)",RomeoSantosVEVO,736730327,2634233,56053,TRUE,TRUE,418186764,14.09090909,Youtube
"Nicky Jam","Nicky Jam: Bzrp Music Sessions, Vol. 41","Nicky Jam: Bzrp Music Sessions, Vol. 41",single,0.627,0.849,-3.167,0.153,0.0913,0,0.145,0.818,89.907,2.634783333,"Nicky Jam - BZRP (Music Sessions #41)","TV Rajuela Producciones",592005,6740,96,FALSE,FALSE,185931694,5.855172414,Spotify
"Nicky Jam",Cuaderno,Climaxxx,album,0.681,0.648,-5.021,0.38,0.523,0,0.104,0.688,172.02,4.775116667,"Dalex - Cuaderno ft. Nicky Jam, Justin Quiles, Sech, Lenny TavÃ¡rez, Rafa PabÃ¶n, Feid (Video Oficial)",Dalex,321420163,1811446,31069,TRUE,TRUE,350576786,6.230769231,Spotify
"Nicky Jam","En La Cama (feat. Daddy Yankee)",Exitos,album,0.855,0.912,-4.832,0.145,0.183,0,0.122,0.885,104.072,2.61705,"Nicky Jam Ft. Daddy Yankee - En La Cama (Official Video)","Anakin ent",115543124,748538,14194,TRUE,TRUE,136025763,7.475409836,Spotify
"Nicky Jam","Si Te Preguntan...","Si Te Preguntan...",single,0.76,0.803,-2.867,0.0306,0.531,0,0.0555,0.922,136.945,3.7179,"Prince Royce, Nicky Jam, Jay Wheeler - Si Te Preguntan... (Official Video)",PrinceRoyceVEVO,61711565,435031,5375,TRUE,TRUE,37382738,14.46846847,Youtube
"Nicky Jam","Hasta el Amanecer",FÃ©nix,album,0.832,0.608,-6.042,0.0385,0.282,0,0.0761,0.589,94.013,3.311783333,"22. Hasta el Amanecer - Nicky Jam | Video Oficial",NickyJamTV,1546036758,4733493,168819,TRUE,TRUE,479847676,7.989487516,Youtube
"Nicky Jam","Color Esperanza 2020","Color Esperanza 2020",single,0.591,0.785,-7.768,0.161,0.161,0,0.126,0.785,106.002,3.625783333,"Color Esperanza 2020 - Various Artists (Official Video)","Latin Waves",24706293,557112,17598,FALSE,FALSE,89466323,6.23015873,Spotify
"Nicky Jam","Donde Estan las Gatas","Gargolas 3",album,0.827,0.788,-11.937,0.0831,0.246,0,0.0764,0.815,109.933,2.833416667,"Los cangris - Donde estan las gatas ( Daddy Yankee FT. Nicky JAM ) Video Oficial - El ganador","DeeJay Morena",162725,2340,62,FALSE,FALSE,126333112,10.31413613,Spotify
